valve_no,taxon,no_of_species,no_of_p,no_of_fp,no_of_b,p_pc,fp_pc,b_pc,efficiency,no_of_p_min,no_of_p_oc,no_of_s_con,no_of_s_pin,no_of_a_ped,no_of_e_mic,p_min_pc,p_oc_pc,s_con_pc,s_pin_pc,a_ped_pc,e_mic_pc
153,Cyclotella ocellata,25,91,4,58,59.47712418300654,2.6143790849673203,37.908496732026144,0.8366013071895425,15,76,4,0,3,1,9.803921568627452,49.673202614379086,2.6143790849673203,0,1.9607843137254901,0.6535947712418301
154,Cyclotella ocellata,25,92,4,58,59.74025974025974,2.5974025974025974,37.66233766233766,0.8376623376623377,15,77,4,0,3,1,9.740259740259742,50,2.5974025974025974,0,1.948051948051948,0.6493506493506493
155,Cyclotella ocellata,25,93,4,58,60,2.5806451612903225,37.41935483870968,0.8387096774193549,15,78,4,0,3,1,9.67741935483871,50.32258064516129,2.5806451612903225,0,1.935483870967742,0.6451612903225806
156,Cyclotella ocellata,25,94,4,58,60.256410256410255,2.564102564102564,37.17948717948718,0.8397435897435898,15,79,4,0,3,1,9.615384615384617,50.641025641025635,2.564102564102564,0,1.9230769230769231,0.641025641025641
157,Placoneis spp.,26,94,4,59,59.87261146496815,2.547770700636943,37.57961783439491,0.8343949044585988,15,79,4,0,3,1,9.554140127388536,50.318471337579616,2.547770700636943,0,1.910828025477707,0.6369426751592357
158,Cyclotella ocellata,26,95,4,59,60.12658227848101,2.5316455696202533,37.34177215189873,0.8354430379746836,15,80,4,0,3,1,9.49367088607595,50.63291139240506,2.5316455696202533,0,1.89873417721519,0.6329113924050633
159,Fallacia subhamulata,26,95,4,60,59.74842767295597,2.515723270440252,37.735849056603776,0.8364779874213837,15,80,4,0,3,1,9.433962264150944,50.314465408805034,2.515723270440252,0,1.8867924528301887,0.628930817610063
160,Fallacia subhamulata,26,95,4,61,59.375,2.5,38.125,0.8375,15,80,4,0,3,1,9.375,50,2.5,0,1.875,0.625
161,Cyclotella ocellata,26,96,4,61,59.62732919254658,2.484472049689441,37.88819875776397,0.8385093167701864,15,81,4,0,3,1,9.316770186335404,50.31055900621118,2.484472049689441,0,1.8633540372670807,0.6211180124223602
162,Cyclotella ocellata,26,97,4,61,59.876543209876544,2.4691358024691357,37.65432098765432,0.8395061728395061,15,82,4,0,3,1,9.25925925925926,50.617283950617285,2.4691358024691357,0,1.8518518518518516,0.6172839506172839
163,Cyclotella ocellata,26,98,4,61,60.122699386503065,2.4539877300613497,37.423312883435585,0.8404907975460123,15,83,4,0,3,1,9.202453987730062,50.920245398773,2.4539877300613497,0,1.8404907975460123,0.6134969325153374
164,Cyclotella ocellata,26,99,4,61,60.36585365853659,2.4390243902439024,37.19512195121951,0.8414634146341463,15,84,4,0,3,1,9.146341463414634,51.21951219512195,2.4390243902439024,0,1.8292682926829267,0.6097560975609756
165,Cocconeis placentula,26,99,4,62,60,2.4242424242424243,37.57575757575757,0.8424242424242424,15,84,4,0,3,1,9.090909090909092,50.90909090909091,2.4242424242424243,0,1.8181818181818181,0.6060606060606061
166,Cyclotella ocellata,26,100,4,62,60.24096385542169,2.4096385542168677,37.34939759036144,0.8433734939759037,15,85,4,0,3,1,9.036144578313253,51.204819277108435,2.4096385542168677,0,1.8072289156626504,0.6024096385542169
167,Cyclotella ocellata,26,101,4,62,60.47904191616767,2.3952095808383236,37.12574850299401,0.844311377245509,15,86,4,0,3,1,8.982035928143713,51.49700598802395,2.3952095808383236,0,1.7964071856287425,0.5988023952095809
168,Cyclotella minuscula,26,102,4,62,60.71428571428571,2.380952380952381,36.904761904761905,0.8452380952380952,16,86,4,0,3,1,9.523809523809524,51.19047619047619,2.380952380952381,0,1.7857142857142856,0.5952380952380952
169,Navicula antonii,27,102,4,63,60.35502958579882,2.366863905325444,37.278106508875744,0.8402366863905325,16,86,4,0,3,1,9.467455621301776,50.887573964497044,2.366863905325444,0,1.7751479289940828,0.591715976331361
170,Cyclotella minuscula,27,103,4,63,60.588235294117645,2.3529411764705883,37.05882352941177,0.8411764705882353,17,86,4,0,3,1,10,50.588235294117645,2.3529411764705883,0,1.7647058823529411,0.5882352941176471
171,Amphora pediculus,27,103,4,64,60.23391812865497,2.3391812865497075,37.42690058479532,0.8421052631578947,17,86,4,0,4,1,9.941520467836257,50.29239766081871,2.3391812865497075,0,2.3391812865497075,0.5847953216374269
172,Cyclotella ocellata,27,104,4,64,60.46511627906976,2.3255813953488373,37.2093023255814,0.8430232558139534,17,87,4,0,4,1,9.883720930232558,50.58139534883721,2.3255813953488373,0,2.3255813953488373,0.5813953488372093
173,Cyclotella ocellata,27,105,4,64,60.69364161849711,2.312138728323699,36.99421965317919,0.8439306358381503,17,88,4,0,4,1,9.826589595375722,50.86705202312138,2.312138728323699,0,2.312138728323699,0.5780346820809248
174,Cyclotella ocellata,27,106,4,64,60.91954022988506,2.2988505747126435,36.7816091954023,0.8448275862068966,17,89,4,0,4,1,9.770114942528735,51.14942528735632,2.2988505747126435,0,2.2988505747126435,0.5747126436781609
175,Cyclotella ocellata,27,107,4,64,61.142857142857146,2.2857142857142856,36.57142857142857,0.8457142857142858,17,90,4,0,4,1,9.714285714285714,51.42857142857142,2.2857142857142856,0,2.2857142857142856,0.5714285714285714
176,Cyclotella ocellata,27,108,4,64,61.36363636363637,2.272727272727273,36.36363636363637,0.8465909090909091,17,91,4,0,4,1,9.659090909090908,51.70454545454546,2.272727272727273,0,2.272727272727273,0.5681818181818182
177,Cyclotella minuscula,27,109,4,64,61.5819209039548,2.2598870056497176,36.15819209039548,0.847457627118644,18,91,4,0,4,1,10.16949152542373,51.41242937853108,2.2598870056497176,0,2.2598870056497176,0.5649717514124294
178,Caloneis schumanniana,28,109,4,65,61.23595505617978,2.247191011235955,36.51685393258427,0.8426966292134832,18,91,4,0,4,1,10.112359550561797,51.12359550561798,2.247191011235955,0,2.247191011235955,0.5617977528089888
179,Amphora pediculus,28,109,4,66,60.893854748603346,2.2346368715083798,36.87150837988827,0.8435754189944134,18,91,4,0,5,1,10.05586592178771,50.83798882681564,2.2346368715083798,0,2.793296089385475,0.5586592178770949
180,Amphora pediculus,28,109,4,67,60.55555555555555,2.2222222222222223,37.22222222222222,0.8444444444444444,18,91,4,0,6,1,10,50.55555555555556,2.2222222222222223,0,3.3333333333333335,0.5555555555555556
181,Cyclotella ocellata,28,110,4,67,60.773480662983424,2.209944751381215,37.01657458563536,0.8453038674033149,18,92,4,0,6,1,9.94475138121547,50.82872928176796,2.209944751381215,0,3.314917127071823,0.5524861878453038
182,Cyclotella ocellata,28,111,4,67,60.98901098901099,2.197802197802198,36.81318681318682,0.8461538461538461,18,93,4,0,6,1,9.89010989010989,51.098901098901095,2.197802197802198,0,3.296703296703297,0.5494505494505495
183,Cyclotella ocellata,28,112,4,67,61.20218579234973,2.185792349726776,36.6120218579235,0.8469945355191257,18,94,4,0,6,1,9.836065573770492,51.36612021857923,2.185792349726776,0,3.278688524590164,0.546448087431694
184,Cyclotella ocellata,28,113,4,67,61.41304347826087,2.1739130434782608,36.41304347826087,0.8478260869565217,18,95,4,0,6,1,9.782608695652174,51.63043478260869,2.1739130434782608,0,3.260869565217391,0.5434782608695652
185,Cyclotella ocellata,28,114,4,67,61.62162162162163,2.1621621621621623,36.21621621621622,0.8486486486486486,18,96,4,0,6,1,9.72972972972973,51.891891891891895,2.1621621621621623,0,3.2432432432432434,0.5405405405405406
186,Cyclotella minuscula,28,115,4,67,61.82795698924731,2.1505376344086025,36.02150537634409,0.8494623655913979,19,96,4,0,6,1,10.21505376344086,51.61290322580645,2.1505376344086025,0,3.225806451612903,0.5376344086021506
187,Achnanthidium minutissimum,28,115,4,68,61.49732620320856,2.13903743315508,36.36363636363637,0.8502673796791445,19,96,4,0,6,1,10.16042780748663,51.33689839572193,2.13903743315508,0,3.2085561497326207,0.53475935828877
188,Cyclotella ocellata,28,116,4,68,61.702127659574465,2.127659574468085,36.17021276595745,0.851063829787234,19,97,4,0,6,1,10.106382978723403,51.59574468085106,2.127659574468085,0,3.1914893617021276,0.5319148936170213
189,Cyclotella ocellata,28,117,4,68,61.904761904761905,2.1164021164021163,35.978835978835974,0.8518518518518519,19,98,4,0,6,1,10.052910052910052,51.85185185185185,2.1164021164021163,0,3.1746031746031744,0.5291005291005291
190,Cyclotella ocellata,28,118,4,68,62.10526315789474,2.1052631578947367,35.78947368421053,0.8526315789473684,19,99,4,0,6,1,10,52.10526315789473,2.1052631578947367,0,3.1578947368421053,0.5263157894736842
191,Cyclotella ocellata,28,119,4,68,62.30366492146597,2.094240837696335,35.602094240837694,0.8534031413612566,19,100,4,0,6,1,9.947643979057592,52.35602094240838,2.094240837696335,0,3.1413612565445024,0.5235602094240838
192,Cyclotella ocellata,28,120,4,68,62.5,2.083333333333333,35.41666666666667,0.8541666666666666,19,101,4,0,6,1,9.895833333333332,52.604166666666664,2.083333333333333,0,3.125,0.5208333333333333
193,Cyclotella ocellata,28,121,4,68,62.69430051813472,2.072538860103627,35.233160621761655,0.8549222797927462,19,102,4,0,6,1,9.844559585492227,52.84974093264248,2.072538860103627,0,3.1088082901554404,0.5181347150259068
194,Cyclotella ocellata,28,122,4,68,62.88659793814433,2.0618556701030926,35.051546391752574,0.8556701030927836,19,103,4,0,6,1,9.793814432989691,53.09278350515464,2.0618556701030926,0,3.0927835051546393,0.5154639175257731
195,Navicula spp.,29,122,4,69,62.56410256410256,2.051282051282051,35.38461538461539,0.8512820512820513,19,103,4,0,6,1,9.7435897435897445,52.820512820512825,2.051282051282051,0,3.076923076923077,0.5128205128205128
196,Navicula spp.,29,122,4,70,62.244897959183675,2.0408163265306123,35.714285714285715,0.8520408163265306,19,103,4,0,6,1,9.693877551020408,52.55102040816326,2.0408163265306123,0,3.061224489795918,0.5102040816326531
197,Gomphonema spp.,29,122,4,71,61.92893401015228,2.030456852791878,36.04060913705584,0.8527918781725888,19,103,4,0,6,1,9.644670050761421,52.28426395939086,2.030456852791878,0,3.0456852791878175,0.5076142131979695
198,Gomphonema spp.,29,122,4,72,61.61616161616161,2.0202020202020203,36.36363636363637,0.8535353535353536,19,103,4,0,6,1,9.595959595959595,52.02020202020202,2.0202020202020203,0,3.0303030303030303,0.5050505050505051
199,Achnanthidium minutissimum,29,122,4,73,61.30653266331658,2.0100502512562812,36.68341708542713,0.8542713567839196,19,103,4,0,6,1,9.547738693467336,51.75879396984925,2.0100502512562812,0,3.015075376884422,0.5025125628140703
200,Encyonopsis microcephala,29,122,4,74,61,2,37,0.855,19,103,4,0,6,2,9.5,51.5,2,0,3,1
201,Cyclotella ocellata,29,123,4,74,61.19402985074627,1.9900497512437811,36.81592039800995,0.8557213930348259,19,104,4,0,6,2,9.45273631840796,51.741293532338304,1.9900497512437811,0,2.9850746268656714,0.9950248756218906
202,Cyclotella ocellata,29,124,4,74,61.386138613861384,1.9801980198019802,36.633663366336634,0.8564356435643564,19,105,4,0,6,2,9.405940594059405,51.98019801980198,1.9801980198019802,0,2.9702970297029703,0.9900990099009901
203,Cyclotella ocellata,29,125,4,74,61.57635467980296,1.9704433497536946,36.45320197044335,0.8571428571428572,19,106,4,0,6,2,9.35960591133005,52.21674876847291,1.9704433497536946,0,2.955665024630542,0.9852216748768473
204,Diploneis elliptica,29,125,4,75,61.274509803921575,1.9607843137254901,36.76470588235294,0.857843137254902,19,106,4,0,6,2,9.313725490196079,51.9607843137255,1.9607843137254901,0,2.941176470588235,0.9803921568627451
205,Cyclotella ocellata,29,126,4,75,61.46341463414634,1.951219512195122,36.58536585365854,0.8585365853658536,19,107,4,0,6,2,9.268292682926829,52.19512195121951,1.951219512195122,0,2.9268292682926833,0.975609756097561
206,Cyclotella ocellata,29,127,4,75,61.6504854368932,1.9417475728155338,36.407766990291265,0.8592233009708738,19,108,4,0,6,2,9.223300970873787,52.42718446601942,1.9417475728155338,0,2.912621359223301,0.9708737864077669
207,Cyclotella ocellata,29,128,4,75,61.83574879227053,1.932367149758454,36.231884057971016,0.8599033816425121,19,109,4,0,6,2,9.178743961352657,52.65700483091788,1.932367149758454,0,2.898550724637681,0.966183574879227
208,Amphora aequalis,30,128,4,76,61.53846153846154,1.9230769230769231,36.53846153846153,0.8557692307692308,19,109,4,0,6,2,9.134615384615383,52.40384615384615,1.9230769230769231,0,2.8846153846153846,0.9615384615384616
209,Amphora aequalis,30,128,4,77,61.24401913875598,1.9138755980861244,36.84210526315789,0.8564593301435407,19,109,4,0,6,2,9.090909090909092,52.15311004784689,1.9138755980861244,0,2.8708133971291865,0.9569377990430622
210,Cyclotella ocellata,30,129,4,77,61.42857142857143,1.9047619047619049,36.666666666666664,0.8571428571428572,19,110,4,0,6,2,9.047619047619047,52.38095238095239,1.9047619047619049,0,2.857142857142857,0.9523809523809524
211,Cyclotella ocellata,30,130,4,77,61.61137440758294,1.8957345971563981,36.492890995260666,0.8578199052132701,19,111,4,0,6,2,9.004739336492891,52.60663507109005,1.8957345971563981,0,2.843601895734597,0.9478672985781991
212,Cyclotella ocellata,30,131,4,77,61.79245283018868,1.8867924528301887,36.32075471698113,0.8584905660377359,19,112,4,0,6,2,8.962264150943396,52.83018867924528,1.8867924528301887,0,2.8301886792452833,0.9433962264150944
213,Cyclotella ocellata,30,132,4,77,61.97183098591549,1.8779342723004695,36.15023474178404,0.8591549295774648,19,113,4,0,6,2,8.92018779342723,53.051643192488264,1.8779342723004695,0,2.8169014084507045,0.9389671361502347
214,Naviculoid spp.,30,132,4,78,61.6822429906542,1.8691588785046727,36.44859813084112,0.8598130841121495,19,113,4,0,6,2,8.878504672897195,52.80373831775701,1.8691588785046727,0,2.803738317757009,0.9345794392523363
215,Cyclotella minuscula,30,133,4,78,61.86046511627907,1.8604651162790697,36.27906976744186,0.8604651162790697,20,113,4,0,6,2,9.30232558139535,52.55813953488372,1.8604651162790697,0,2.7906976744186047,0.9302325581395349
216,Cyclotella minuscula,30,134,4,78,62.03703703703704,1.8518518518518516,36.11111111111111,0.8611111111111112,21,113,4,0,6,2,9.722222222222223,52.31481481481482,1.8518518518518516,0,2.7777777777777777,0.9259259259259258
217,Cyclotella minuscula,30,135,4,78,62.21198156682027,1.8433179723502304,35.944700460829495,0.8617511520737327,22,113,4,0,6,2,10.138248847926267,52.07373271889401,1.8433179723502304,0,2.7649769585253456,0.9216589861751152
218,Cyclotella ocellata,30,136,4,78,62.38532110091744,1.834862385321101,35.77981651376147,0.8623853211009174,22,114,4,0,6,2,10.091743119266056,52.293577981651374,1.834862385321101,0,2.7522935779816518,0.9174311926605505
219,Cyclotella minuscula,30,137,4,78,62.55707762557078,1.82648401826484,35.61643835616438,0.863013698630137,23,114,4,0,6,2,10.50228310502283,52.054794520547944,1.82648401826484,0,2.73972602739726,0.91324200913242
220,Gomphonema spp.,30,137,4,79,62.272727272727266,1.8181818181818181,35.90909090909091,0.8636363636363636,23,114,4,0,6,2,10.454545454545453,51.81818181818182,1.8181818181818181,0,2.727272727272727,0.9090909090909091
221,Gomphonema spp.,30,137,4,80,61.990950226244344,1.809954751131222,36.199095022624434,0.8642533936651584,23,114,4,0,6,2,10.407239819004525,51.58371040723983,1.809954751131222,0,2.7149321266968327,0.904977375565611
222,Cyclotella minuscula,30,138,4,80,62.16216216216216,1.8018018018018018,36.03603603603604,0.8648648648648649,24,114,4,0,6,2,10.81081081081081,51.35135135135135,1.8018018018018018,0,2.7027027027027026,0.9009009009009009
223,Placoneis/Luticola sp.,31,138,4,81,61.88340807174888,1.7937219730941705,36.32286995515695,0.8609865470852018,24,114,4,0,6,2,10.762331838565023,51.12107623318386,1.7937219730941705,0,2.690582959641256,0.8968609865470852
224,Navicula reinhardtii,32,138,4,82,61.60714285714286,1.7857142857142856,36.607142857142854,0.8571428571428572,24,114,4,0,6,2,10.714285714285714,50.89285714285714,1.7857142857142856,0,2.6785714285714284,0.8928571428571428
225,Cyclotella ocellata,32,139,4,82,61.77777777777778,1.7777777777777777,36.44444444444444,0.8577777777777778,24,115,4,0,6,2,10.666666666666668,51.11111111111111,1.7777777777777777,0,2.666666666666667,0.8888888888888888
226,Cyclotella ocellata,32,140,4,82,61.94690265486725,1.7699115044247788,36.283185840707965,0.8584070796460177,24,116,4,0,6,2,10.619469026548673,51.32743362831859,1.7699115044247788,0,2.6548672566371683,0.8849557522123894
227,Cyclotella minuscula,32,141,4,82,62.11453744493392,1.762114537444934,36.12334801762114,0.8590308370044053,25,116,4,0,6,2,11.013215859030836,51.10132158590308,1.762114537444934,0,2.643171806167401,0.881057268722467
228,Cocconeis placentula,32,141,4,83,61.8421052631579,1.7543859649122806,36.40350877192983,0.8596491228070176,25,116,4,0,6,2,10.964912280701753,50.877192982456144,1.7543859649122806,0,2.631578947368421,0.8771929824561403
229,Encyonema ventricosum,33,141,4,84,61.572052401746724,1.7467248908296942,36.681222707423586,0.8558951965065502,25,116,4,0,6,2,10.91703056768559,50.65502183406113,1.7467248908296942,0,2.6200873362445414,0.8733624454148471
230,Cyclotella minuscula,33,142,4,84,61.73913043478261,1.7391304347826086,36.52173913043478,0.8565217391304347,26,116,4,0,6,2,11.304347826086957,50.43478260869565,1.7391304347826086,0,2.608695652173913,0.8695652173913043
231,Cyclotella ocellata,33,143,4,84,61.904761904761905,1.7316017316017316,36.36363636363637,0.8571428571428572,26,117,4,0,6,2,11.255411255411255,50.649350649350644,1.7316017316017316,0,2.5974025974025974,0.8658008658008658
232,Naviculoid spp.,33,143,4,85,61.63793103448276,1.7241379310344827,36.637931034482754,0.8577586206896551,26,117,4,0,6,2,11.206896551724139,50.43103448275862,1.7241379310344827,0,2.586206896551724,0.8620689655172413
233,Cocconeis placentula,33,143,4,86,61.37339055793991,1.7167381974248928,36.9098712446352,0.8583690987124464,26,117,4,0,6,2,11.158798283261802,50.21459227467812,1.7167381974248928,0,2.575107296137339,0.8583690987124464
234,Cyclotella ocellata,33,144,4,86,61.53846153846154,1.7094017094017095,36.75213675213676,0.858974358974359,26,118,4,0,6,2,11.11111111111111,50.427350427350426,1.7094017094017095,0,2.564102564102564,0.8547008547008548
235,Cyclotella ocellata,33,145,4,86,61.702127659574465,1.702127659574468,36.59574468085106,0.8595744680851064,26,119,4,0,6,2,11.063829787234042,50.638297872340424,1.702127659574468,0,2.553191489361702,0.851063829787234
236,Cyclotella ocellata,33,146,4,86,61.86440677966102,1.694915254237288,36.440677966101696,0.8601694915254238,26,120,4,0,6,2,11.016949152542372,50.847457627118644,1.694915254237288,0,2.5423728813559325,0.847457627118644
237,Cyclotella ocellata,33,147,4,86,62.0253164556962,1.6877637130801686,36.28691983122363,0.8607594936708861,26,121,4,0,6,2,10.970464135021098,51.0548523206751,1.6877637130801686,0,2.5316455696202533,0.8438818565400843
238,Cyclotella minuscula,33,148,4,86,62.18487394957983,1.680672268907563,36.134453781512605,0.8613445378151261,27,121,4,0,6,2,11.344537815126051,50.84033613445378,1.680672268907563,0,2.5210084033613445,0.8403361344537815
239,Sellaphora pupula,34,148,4,87,61.92468619246861,1.6736401673640167,36.40167364016737,0.8577405857740585,27,121,4,0,6,2,11.297071129707113,50.627615062761514,1.6736401673640167,0,2.510460251046025,0.8368200836820083
240,Cyclotella pantanelliana,35,149,4,87,62.083333333333336,1.6666666666666667,36.25,0.8541666666666666,27,121,4,0,6,2,11.25,50.416666666666664,1.6666666666666667,0,2.5,0.8333333333333334
241,Cyclotella ocellata,35,150,4,87,62.24066390041494,1.6597510373443984,36.099585062240664,0.8547717842323651,27,122,4,0,6,2,11.20331950207469,50.62240663900415,1.6597510373443984,0,2.4896265560165975,0.8298755186721992
242,Gomphonema pseudotenellum,35,150,4,88,61.98347107438017,1.6528925619834711,36.36363636363637,0.8553719008264463,27,122,4,0,6,2,11.15702479338843,50.413223140495866,1.6528925619834711,0,2.479338842975207,0.8264462809917356
243,Cyclotella ocellata,35,151,4,88,62.139917695473244,1.646090534979424,36.21399176954733,0.8559670781893004,27,123,4,0,6,2,11.11111111111111,50.617283950617285,1.646090534979424,0,2.4691358024691357,0.823045267489712
244,Cyclotella ocellata,35,152,4,88,62.295081967213115,1.639344262295082,36.0655737704918,0.8565573770491803,27,124,4,0,6,2,11.065573770491802,50.81967213114754,1.639344262295082,0,2.459016393442623,0.819672131147541
245,Cyclotella ocellata,35,153,4,88,62.44897959183674,1.6326530612244898,35.91836734693877,0.8571428571428572,27,125,4,0,6,2,11.020408163265307,51.02040816326531,1.6326530612244898,0,2.4489795918367347,0.8163265306122449
246,Cyclotella minuscula,35,154,4,88,62.601626016260155,1.6260162601626018,35.77235772357724,0.8577235772357723,28,125,4,0,6,2,11.38211382113821,50.81300813008131,1.6260162601626018,0,2.4390243902439024,0.8130081300813009
247,Cyclotella minuscula,35,155,4,88,62.75303643724697,1.6194331983805668,35.62753036437247,0.8582995951417004,29,125,4,0,6,2,11.740890688259109,50.607287449392715,1.6194331983805668,0,2.42914979757085,0.8097165991902834
248,Naviculoid spp.,35,155,4,89,62.5,1.6129032258064515,35.88709677419355,0.8588709677419355,29,125,4,0,6,2,11.693548387096774,50.403225806451616,1.6129032258064515,0,2.4193548387096775,0.8064516129032258
249,Naviculoid spp.,35,155,4,90,62.24899598393574,1.6064257028112447,36.144578313253014,0.8594377510040161,29,125,4,0,6,2,11.646586345381527,50.20080321285141,1.6064257028112447,0,2.4096385542168677,0.8032128514056224
250,Cyclotella minuscula,35,156,4,90,62.4,1.6,36,0.86,30,125,4,0,6,2,12,50,1.6,0,2.4,0.8
251,Fallacia subhamulata,35,156,4,91,62.15139442231076,1.593625498007968,36.254980079681275,0.8605577689243028,30,125,4,0,6,2,11.952191235059761,49.800796812749006,1.593625498007968,0,2.3904382470119523,0.796812749003984
252,Cyclotella minuscula,35,157,4,91,62.301587301587304,1.5873015873015872,36.11111111111111,0.8611111111111112,31,125,4,0,6,2,12.3015873015873,49.60317460317461,1.5873015873015872,0,2.380952380952381,0.7936507936507936
253,Cyclotella minuscula,35,158,4,91,62.450592885375485,1.5810276679841897,35.96837944664031,0.8616600790513834,32,125,4,0,6,2,12.648221343873518,49.40711462450593,1.5810276679841897,0,2.371541501976284,0.7905138339920948
254,Cyclotella minuscula,35,159,4,91,62.59842519685039,1.574803149606299,35.826771653543304,0.8622047244094488,33,125,4,0,6,2,12.992125984251967,49.21259842519685,1.574803149606299,0,2.3622047244094486,0.7874015748031495
255,Cyclotella pantanelliana,35,160,4,91,62.745098039215684,1.5686274509803921,35.68627450980392,0.8627450980392157,33,125,4,0,6,2,12.941176470588237,49.01960784313725,1.5686274509803921,0,2.3529411764705883,0.7843137254901961
256,Fallacia subhamulata,35,160,4,92,62.5,1.5625,35.9375,0.86328125,33,125,4,0,6,2,12.890625,48.828125,1.5625,0,2.34375,0.78125
257,Cyclotella ocellata,35,161,4,92,62.64591439688716,1.556420233463035,35.797665369649806,0.8638132295719845,33,126,4,0,6,2,12.840466926070038,49.0272373540856,1.556420233463035,0,2.3346303501945527,0.7782101167315175
258,Cyclotella ocellata,35,162,4,92,62.7906976744186,1.550387596899225,35.65891472868217,0.8643410852713178,33,127,4,0,6,2,12.790697674418606,49.224806201550386,1.550387596899225,0,2.3255813953488373,0.7751937984496124
259,Gyrosigma scientose,35,162,4,93,62.54826254826254,1.5444015444015444,35.907335907335906,0.8648648648648649,33,127,4,0,6,2,12.741312741312742,49.034749034749034,1.5444015444015444,0,2.3166023166023164,0.7722007722007722
260,Rhoicosphenia abbreviata,36,162,4,94,62.30769230769231,1.5384615384615385,36.15384615384615,0.8615384615384616,33,127,4,0,6,2,12.692307692307692,48.84615384615385,1.5384615384615385,0,2.307692307692308,0.7692307692307693
261,Cyclotella ocellata,36,163,4,94,62.45210727969349,1.532567049808429,36.015325670498086,0.8620689655172413,33,128,4,0,6,2,12.643678160919542,49.042145593869726,1.532567049808429,0,2.2988505747126435,0.7662835249042145
262,Cyclotella ocellata,36,164,4,94,62.59541984732825,1.5267175572519083,35.87786259541985,0.8625954198473282,33,129,4,0,6,2,12.595419847328243,49.23664122137404,1.5267175572519083,0,2.2900763358778624,0.7633587786259541
263,Cyclotella minuscula,36,165,4,94,62.737642585551335,1.520912547528517,35.741444866920155,0.8631178707224334,34,129,4,0,6,2,12.927756653992395,49.049429657794676,1.520912547528517,0,2.2813688212927756,0.7604562737642585
264,Cyclotella minuscula,36,166,4,94,62.878787878787875,1.5151515151515151,35.60606060606061,0.8636363636363636,35,129,4,0,6,2,13.257575757575758,48.86363636363637,1.5151515151515151,0,2.272727272727273,0.7575757575757576
265,Cyclotella ocellata,36,167,4,94,63.0188679245283,1.509433962264151,35.471698113207545,0.8641509433962264,35,130,4,0,6,2,13.20754716981132,49.056603773584904,1.509433962264151,0,2.2641509433962264,0.7547169811320755
266,Cyclotella ocellata,36,168,4,94,63.1578947368421,1.5037593984962405,35.338345864661655,0.8646616541353384,35,131,4,0,6,2,13.157894736842104,49.24812030075188,1.5037593984962405,0,2.2556390977443606,0.7518796992481203
267,Cyclotella minuscula,36,169,4,94,63.29588014981273,1.4981273408239701,35.2059925093633,0.8651685393258427,36,131,4,0,6,2,13.48314606741573,49.063670411985015,1.4981273408239701,0,2.247191011235955,0.7490636704119851
268,Cyclotella ocellata,36,170,4,94,63.43283582089553,1.4925373134328357,35.07462686567165,0.8656716417910448,36,132,4,0,6,2,13.432835820895523,49.25373134328358,1.4925373134328357,0,2.2388059701492535,0.7462686567164178
269,Encyonopsis microcephala,36,170,4,95,63.19702602230484,1.486988847583643,35.31598513011153,0.8661710037174721,36,132,4,0,6,3,13.382899628252787,49.07063197026022,1.486988847583643,0,2.2304832713754648,1.1152416356877324
270,Encyonopsis microcephala,36,170,4,96,62.96296296296296,1.4814814814814816,35.55555555555556,0.8666666666666667,36,132,4,0,6,4,13.333333333333334,48.888888888888886,1.4814814814814816,0,2.2222222222222223,1.4814814814814816
271,Cyclotella minuscula,36,171,4,96,63.09963099630996,1.4760147601476015,35.42435424354243,0.8671586715867159,37,132,4,0,6,4,13.653136531365314,48.708487084870846,1.4760147601476015,0,2.214022140221402,1.4760147601476015
272,Cyclotella minuscula,36,172,4,96,63.23529411764706,1.4705882352941175,35.294117647058826,0.8676470588235294,38,132,4,0,6,4,13.970588235294118,48.529411764705884,1.4705882352941175,0,2.2058823529411766,1.4705882352941175
273,Naviculoid spp.,36,172,4,97,63.003663003663,1.465201465201465,35.53113553113553,0.8681318681318682,38,132,4,0,6,4,13.91941391941392,48.35164835164835,1.465201465201465,0,2.197802197802198,1.465201465201465
274,Cyclotella minuscula,36,173,4,97,63.138686131386855,1.4598540145985401,35.4014598540146,0.8686131386861313,39,132,4,0,6,4,14.233576642335766,48.175182481751825,1.4598540145985401,0,2.18978102189781,1.4598540145985401
275,Cyclotella ocellata,36,174,4,97,63.272727272727266,1.4545454545454546,35.27272727272727,0.8690909090909091,39,133,4,0,6,4,14.181818181818182,48.36363636363637,1.4545454545454546,0,2.181818181818182,1.4545454545454546
276,Cyclotella minuscula,36,175,4,97,63.40579710144928,1.4492753623188406,35.14492753623188,0.8695652173913043,40,133,4,0,6,4,14.492753623188406,48.188405797101446,1.4492753623188406,0,2.1739130434782608,1.4492753623188406
277,Cyclotella minuscula,36,176,4,97,63.537906137184116,1.444043321299639,35.018050541516246,0.8700361010830325,41,133,4,0,6,4,14.801444043321299,48.014440433213,1.444043321299639,0,2.166064981949458,1.444043321299639
278,Cyclotella minuscula,36,177,4,97,63.66906474820144,1.4388489208633095,34.89208633093525,0.8705035971223022,42,133,4,0,6,4,15.107913669064748,47.84172661870504,1.4388489208633095,0,2.158273381294964,1.4388489208633095
279,Cyclotella ocellata,36,178,4,97,63.799283154121866,1.4336917562724014,34.76702508960574,0.8709677419354839,42,134,4,0,6,4,15.053763440860216,48.028673835125446,1.4336917562724014,0,2.1505376344086025,1.4336917562724014
